Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Jean-Ricner Bellegarde,Wolves,FRA,Midfielder,21.3,54.05
Kobbie Mainoo,Manchester Utd,ENG,Midfielder,66.0,53.96
Alexander Isak,Newcastle Utd,SWE,Forward,120.3,53.83
Destiny Udogie,Tottenham,ITA,Defender,59.4,53.78
Harvey Elliott,Liverpool,ENG,Midfielder,48.5,53.24
Jurriën Timber,Arsenal,NED,Defender,65.5,53.09
Carlos Baleba,Brighton,CMR,Midfielder,52.4,52.4
Christopher Nkunku,Chelsea,FRA,Forward,51.7,52.0
Dean Huijsen,Bournemouth,ESP,Defender,55.0,51.78
Trent Alexander-Arnold,Liverpool,ENG,Defender,55.8,51.42
Pedro Neto,Chelsea,POR,Forward,60.6,51.33
Kevin De Bruyne,Manchester City,BEL,Midfielder,20.1,51.25
Levi Colwill,Chelsea,ENG,Defender,56.6,50.91
Elliot Anderson,Nott'ham Forest,ENG,Midfielder,46.5,50.48
Diogo Jota,Liverpool,POR,Forward,58.6,50.41
Lisandro Martínez,Manchester Utd,ARG,Defender,49.2,50.34
Dominic Solanke,Tottenham,ENG,Forward,52.1,50.3
Evan Ferguson,West Ham,IRL,Forward,48.5,50.23
Maxence Lacroix,Crystal Palace,FRA,Defender,27.7,50.14
